ID,Name,Gender,Age,City,Science,English,History,Maths,Attendance,AdmissionDate,Year,Month,Total,Average,Result,Grade
1,Bronnie,Female,13,New York,85,81.0,62.0,70.0,87,2023-07-07,2023,7,298.0,74.5,Pass,C
2,Lemmie,Male,15,San Antonio,77,41.0,77.0,50.0,98,2023-07-09,2023,7,245.0,61.25,Pass,D
3,Danya,Female,14,New York,85,87.0,90.0,96.0,99,2023-07-09,2023,7,358.0,89.5,Pass,B
4,Denna,Female,14,New York,60,65.0,82.0,65.0,99,2023-07-10,2023,7,272.0,68.0,Pass,D
5,Jocelin,Male,14,San Antonio,43,80.0,60.0,65.0,99,2023-07-11,2023,7,248.0,62.0,Pass,D
6,Malissa,Female,14,Los Angeles,98,51.0,85.0,76.0,85,2023-07-12,2023,7,310.0,77.5,Pass,C
7,Ichabod,Female,14,Dallas,69,74.0,74.5909090909091,60.0,100,2023-07-13,2023,7,277.5909090909091,69.39772727272728,Pass,D
8,Beverlie,Male,14,Los Angeles,78,80.0,85.0,80.0,95,2023-07-14,2023,7,323.0,80.75,Pass,B
9,Corrine,Male,15,Los Angeles,78,89.0,88.0,90.0,98,2023-07-15,2023,7,345.0,86.25,Pass,B
10,Tate,Male,15,San Antonio,70,50.0,60.0,55.0,99,2023-07-20,2023,7,235.0,58.75,Fail,F
12,Valaria,Male,13,Dallas,45,45.0,78.0,76.0,100,2023-07-25,2023,7,244.0,61.0,Pass,D
13,Merrick,Male,15,Los Angeles,65,89.0,96.0,80.0,83,2023-07-25,2023,7,330.0,82.5,Pass,B
14,Gracie,Female,13,San Antonio,93,76.0,70.0,68.9090909090909,95,2024-02-01,2024,2,307.9090909090909,76.97727272727272,Pass,C
15,Missy,Female,13,New York,98,89.0,84.0,90.0,84,2024-02-01,2024,2,361.0,90.25,Pass,A
16,Gilberta,Male,15,San Antonio,79,90.0,90.0,64.0,93,2024-02-02,2024,2,323.0,80.75,Pass,B
17,Peggy,Male,13,Los Angeles,60,45.0,44.0,45.0,95,2024-02-03,2024,2,194.0,48.5,Fail,F
19,Opalina,Female,13,New York,62,77.0,75.0,72.0,96,2024-03-03,2024,3,286.0,71.5,Pass,C
20,Ashlan,Male,13,Houston,40,50.0,50.0,45.0,89,2024-03-04,2024,3,185.0,46.25,Fail,F
21,Amery,Male,13,Dallas,76,96.0,67.0,80.0,97,2024-03-05,2024,3,319.0,79.75,Pass,C
22,Benoite,Male,14,New York,45,73.0909090909091,55.0,60.0,86,2024-03-06,2024,3,233.0909090909091,58.27272727272727,Fail,F
23,Merle,Female,13,Dallas,66,83.0,69.0,50.0,93,2024-03-07,2024,3,268.0,67.0,Pass,D
24,Valma,Female,14,Dallas,48,83.0,79.0,77.0,93,2024-03-08,2024,3,287.0,71.75,Pass,C
25,Jone,Male,14,Houston,89,87.0,95.0,70.0,88,2024-03-09,2024,3,341.0,85.25,Pass,B
